name;address;visit_duration;long;lat;category_id;shortdescription;longdescription;contact;opening;tarif;illustration
Eglise de lImmaculée Conception;"{""name"": 'CURE : 94 avenue de Saxe', ""postalCode"": '69003', ""streetAddress"": '137 rue Pierre Corneille', ""addressLocality"": 'Lyon 3ème'}";15;4,844525;45,760153;2;La nef de léglise fut construite de 1856 à 1859, le choeur et les chapelles de 1889 à 1893. Léglise, romano-byzantine, est lœuvre de Pierre Bossan. Horaires des messes sur le site.;;[{'Téléphone': '04 78 60 53 26'}, {'Mél': 'contact@lyon.catholique.fr'}, {'Site web (URL)': 'http://egliseinfo.catholique.fr'}, {'Site web (URL)': 'http://lyon.catholique.fr'}];;;
Pont Maréchal Juin;"{""name"": 'Sur la Saône', ""postalCode"": '69005', ""streetAddress"": 'entre le quai Romain Rolland (5°) et le quai St Antoine (2°)', ""addressLocality"": 'Lyon 5ème'}";15;4,829521;45,763332;2;A lorigine, pont du Change, il est le premier pont construit sur la Saône vers 1070 et reliant la rue Mercière au niveau de léglise Saint Nizier à la place du Change où se tenaient les foires et les transactions commerciales.;Les entrées du pont étaient couvertes de maisons de 3 à 4 étages abritant principalement des orfèvres. En son centre, était érigée une chapelle, remplacée au début du 19ème par un édicule destiné aux pompiers. Démoli en 1842, il fut remplacé en 1847 par un pont bâti quelques mètres en aval, plus compatible avec les exigences de la navigation fluviale. Au cours des siècles, il  changea de nom : pont de Pierre (au 13ème et vers 1810), pont de Saône (vers 1680), pont de Nemours (en 1844), pont de la Liberté (vers 1849). Finalement, cest le nom pont du Change, attesté dès le 11ème, qui simpose. Gênant la navigation fluviale et ne répondant pas aux exigences de la circulation automobile, il est démoli en 1968 et remplacé par le pont Maréchal Juin, construit entre 1971 et 1973, 200 m en aval pour saligner sur la rue Grenette. Dessiné par larchitecte Gilbert Lamboley sous la direction de lingénieur Merlin. Long de 131,80 m, avec chaussée de 14 m et trottoirs de 4 m. Alphonse Juin (1888, Algérie-1967, Paris) Général, maréchal de France, lun des grands chefs de larmée de libération en 1943-1944.;;;;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/85/174/44629.jpg', 'taille': 44964, 'hauteur': 450, 'largeur': 600, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/85/174/44629-fiche.jpg'}]
Amphithéâtre des brosses;"{""postalCode"": '69360', ""streetAddress"": 'Rue des Brosses', ""addressLocality"": 'Communay'}";90;4,828338;45,604653;1;LAmphithéâtre des Brosses, dune capacité de 170 places, est équipé pour laccueil de spectacles ou autres type dévénements.  La salle bénéficie dun équipement son et lumière.;;[{'Mél': 'mairie@communay.fr'}, {'Téléphone /fax': '04 72 49 80 60'}];;;
Couvent des Religieuses de lAdoration Réparatrice;"{""name"": '(face à la Halle Tony Garnier)', ""postalCode"": '69007', ""streetAddress"": '131 boulevard Yves Farge', ""addressLocality"": 'Lyon 7ème'}";15;4,826002;45,733265;2;Sur 3341 m² de terrain entre le bd Yves Farge et la rue Mathieu Varille, le couvent fut construit du 8 décembre 1992 au 15 août 1996 par larchitecte lyonnais Bernard Garbit. Il couvre 2300 m² de bâtiment.;Edifice de béton enduit de sable clair avec de nombreux éléments de bois. Un clocher de 10 m se trouve à lentrée du couvent, bd Yves Farge. Il possède un jardin privé.;[{'Téléphone': '04 72 71 63 20'}, {'Site web (URL)': 'http://www.paroissedegerland.org/'}];;;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/245/167/894965.gif', 'taille': 688464, 'hauteur': 716, 'largeur': 1200, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/245/167/894965-fiche.gif'}]
Pignol Emile Zola;"{""postalCode"": '69002', ""streetAddress"": '17 rue Emile Zola', ""addressLocality"": 'Lyon 2ème'}";45;4.83581;45.760681;3;Restaurant et salon de thé, Pignol offre une restauration moderne et urbaine conciliant rapidité et qualité.;C’est ici, au 17 de la rue Emile Zola, que tout a commencé.     Contigus à la toute première boutique, les deux étages de l’ancien appartement de la famille Pignol ont été transformés en restaurant pour vous permettre de vous sentir comme chez vous.    Quatre salles très différentes vous sont offertes, suivez votre humeur du moment : venez partager l’activité de la boutique dans le vestibule ou l’ambiance bistrot, à la cuisine. A moins que vous ne préfériez l’intimité du salon mélangeant des lignes design et chaleureuses.    Enfin, avant de prendre définitivement vos habitudes, n’hésitez pas à découvrir la salle à manger : parquet d’olivier, douceur du lin, ambiance feutrée. Tout n’y est que luxe, calme et volupté.    Quelque soit votre choix, le régal est le même : salades composées, menus, plat du jour et bien entendu, tous les délices pâtissiers de la célèbre enseigne du rez-de-chaussée ! L’endroit idéal pour un déjeuner au centre-ville.;[{'Téléphone': '04 78 92 43 92'}, {'Mél': 'info@pignol.fr'}, {'Site web (URL)': 'http://www.pignol.fr'}];Toute l'année, tous les lundis, mardis, mercredis, jeudis, vendredis et samedis de 12h à 14h30. Fermetures exceptionnelles les 1er janvier, Lundi de Pâques, Jeudi de l'Ascension, Lundi de Pentecôte, 1er mai, 8 mai, 14 juillet, 15 août, 1er novembre et 25 décembre. Fermé les lundis en août.;A la carte : de 6,80 à 19,50 € Menu adulte : de 16 à 17 € Plat du jour : de 10,50 à 11,50 €. ;
Immeuble Dubosc et Landowski;"{""postalCode"": '69700', ""streetAddress"": '1 quai Georges Lévy', ""addressLocality"": 'Givors'}";15;4,77322;45,585963;2;Immeuble à loyer modéré constuit en 1989 par les architectes Dubosc et Landowski.;Ce bâtiment de 55 habitations a été conçu en 1989 par Eric Dubosc et Marc Landowski, architectes parisiens experts en architecture économique. Lossature est en acier et béton armé avec ouverture propice à lensoleillement et à léconomie dénergie en façade nord et terrasses en verrière en façade sud. Chaque appartement est différent. Cet immeuble traduit également les préoccupations de réappropriation des bords du Rhône par ses habitants avec un retour aux quais. Ce bâtiment se nomme Front du Rhône et est géré par un bailleur social de Givors: la CODEGI.;[{'Téléphone': '04 72 49 18 18'}];;Gratuit;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/61/72/346173.jpg', 'taille': 71523, 'hauteur': 406, 'largeur': 600, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/61/72/346173-fiche.jpg'}]
Théâtre des Voraces;"{""name"": 'ou 146 montée Saint Sébastien', ""postalCode"": '69001', ""streetAddress"": 'Cour des Voraces, 9 place Colbert', ""addressLocality"": 'Lyon 1er'}";90;4,83495;45,772088;1;Petit théâtre. Espace de découverte de talents amateurs.;;[{'Téléphone': '09 54 92 94 51'}, {'Mél': 'theatre.des.voraces@free.fr'}, {'Site web (URL)': 'http://theatre.des.voraces.free.fr'}];Annulé ou fermé en raison du Covid-19.;;
La Maison;"{""postalCode"": '69007', ""streetAddress"": '4 rue Jonas Salk', ""addressLocality"": 'Lyon 7ème'}";45;4.82315;45.731354;3;Une grande maison bourgeoise aux charmes préservés, ouverte sur un vaste jardin, des volumes intérieurs gargantuesques et une déco signée par le très inspiré designer François Dumas… Ici, vous êtes comme à la maison !;Comme une envie d’extérieur…  Aux impatients des beaux jours La Maison Restaurant Lyon fait cadeau d’un jardin d’hiver abrité par une généreuse véranda. Royaume de la lumière avec vue imprenable sur l’extérieur, c’est une autre atmosphère, légère et joyeuse, qui naît au cœur de cet espace entre deux mondes. Un autre éclairage sur la cuisine de La Maison en somme…  Il fait si bon dehors ! A l’ombre des platanes qui distillent une douceur bienfaitrice, le temps suspend son vol. Accueillant et ludique, le jardin du Restaurant La Maison Lyon 7 offre une parenthèse enchantée quand la chaleur de l’été embrase la cité. Après un défi épique sur le terrain de pétanque, au baby-foot ou au ping-pong, c’est le cadre privilégié pour apprécier toute la fraîcheur des plats de La Maison…;[{'Téléphone': '04 72 72 96 96'}, {'Mél': 'contact@lamaisonrestaurant.fr'}, {'Site web (URL)': 'http://lamaisonrestaurant.fr/'}];Ouvert du lun. au ven. de 12h à 15h et de 19h30 à 23h, le sam. de 19h30 à 23h30. Fermé les jours fériés.  Annulé ou fermé en raison du Covid-19.;A la carte : de 11 à 38 € Menu adulte : de 19 à 24 € Menu enfant : à partir de 10 € Plat du jour : à partir de 14 €. ;
Quai 50;"{""postalCode"": '69009', ""streetAddress"": '50 quai Professeur Paul Sédallian', ""addressLocality"": 'Lyon 9ème'}";45;4.815081;45.788158;3;Face aux berges de la Saône, le restaurant Quai 50 vous propose toute lannée une carte de spécialités italiennes élaborées avec des produits de saison. Aux beaux jours, profitez de notre agréable terrasse ombragée avec vue sur la Saône.;Orchestré par le Chef Davide Consonni, le restaurant Quai 50 vous propose toute lannée un choix de plats italiens raffinés, élaborés avec des produits de saison.  Profitez de lambiance chaleureuse de lélégante salle intérieure dune capacité de 100 couverts, ou de la terrasse extérieure ombragée avec vue sur la Saône, aux beaux jours.  Notre restaurant vous accueille du lundi au vendredi pour le déjeuner, et du lundi au samedi pour le dîner. Réservation conseillée.    Létablissement est adapté aux régimes végétarien et sans gluten.;[{'Téléphone': '04 72 66 01 03'}, {'Tripadvisor': 'https://www.tripadvisor.fr/Restaurant_Review-g187265-d3721538-Reviews-Quai_50-Lyon_Rhone_Auvergne_Rhone_Alpes.html'}, {'Mél': 'quai50@hotellyonouest.com'}, {'Site web (URL)': 'https://www.hotellyonouest.com/fr/restaurant-bar.html'}, {'Page facebook': 'https://www.facebook.com/quai50'}];Toute l'année  Ouverture le lundi, mardi, mercredi, jeudi et vendredi de 12h à 14h et de 19h à 22h. Fermetures exceptionnelles les 1er janvier, 15 août et 25 décembre.;A la carte : de 10,50 à 22 € Menu adulte : à partir de 26 € (formule du soir) Plat du jour : à partir de 14 € Menu du jour : de 18,50 à 23 €. ;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/251/85/10442235.jpg', 'taille': 504997, 'hauteur': 780, 'largeur': 1920, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/251/85/10442235-fiche.jpg'}]
Jardin des Saules;"{""postalCode"": '69009', ""streetAddress"": 'entre le quai Paul Sédaillan et la rue Antonin Laborde', ""addressLocality"": 'Lyon 9ème'}";90;4,812784;45,786485;4;Le jardin doit son nom à son espèce dominante. Sur près d1 ha, il offre plus de 1600 m² de plantations en bord de Saône.;;[{'Téléphone': '04 72 69 47 60'}];;;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/101/79/348005.jpg', 'taille': 59930, 'hauteur': 389, 'largeur': 518, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/101/79/348005-fiche.jpg'}]
Parc du Grillon;"{""postalCode"": '69340', ""streetAddress"": 'Avenue du Chater', ""addressLocality"": 'Francheville'}";90;4,772908;45,741986;4;A Francheville le Bas, y ont lieu durant lété de nombreuses manifestations culturelles, cinéma, etc.;;[{'Téléphone': '04 78 59 02 66'}, {'Site web (URL)': 'http://www.mairie-francheville69.fr'}];;;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/184/81/348600.jpg', 'taille': 126904, 'hauteur': 599, 'largeur': 800, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/184/81/348600-fiche.jpg'}]
Parc des Berges du Rhône;"{""postalCode"": '69007', ""streetAddress"": 'Pont Pasteur, avenue Leclerc', ""addressLocality"": 'Lyon 7ème'}";90;4,822097;45,734224;4;Parc urbain qui relie le Parc de Gerland à la Promenade des Berges du Rhône, Le Parc des Berges comprend sur 5,5 hectares une vaste prairie de jeux orientée vers le sud et bordée de 3 gradins enherbés.;Il dispose dune terrasse-belvédère et d un jardin au nord avec des figuiers. Le long des berges, découvrez une peupleraie (peupliers blancs ou noirs, trembles, grisards), où le traitement paysager respecte l’aspect naturel de la ripisylve. Une promenade piétonne traverse le parc pour relier les Berges du Rhône au nord et le parc de Gerland au sud. Elle chemine en suivant les courbes de la pente, séparant l’espace bas de l’espace haut.   Une voie cyclable transversale rejoint les berges du Rhône et la Halle Tony Garnier.  Lesplanade et la prairie au sud du parc sont ouverts à des événements festifs et à diverses manifestations.;[{'Téléphone': '04 72 69 47 60'}, {'Site web (URL)': 'http://www.grandlyon.com/fileadmin/user_upload/Pdf/territoire/Grands_Projets/Berges_Rhone/plaquette_berges_0401.pdf'}, {'Site web (URL)': 'http://www.mairie7.lyon.fr/vdl/sections/fr/arrondissements/7arrdt/environnement8466/parcs_et_jardins/parc_des_berges'}];;;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/201/32/336073.jpg', 'taille': 205454, 'hauteur': 768, 'largeur': 1024, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/201/32/336073-fiche.jpg'}]
Bar le Melhor;"{""postalCode"": '69002', ""streetAddress"": '20 quai Gailleton', ""addressLocality"": 'Lyon 2ème'}";30;4,834328;45,754379;5;Confortablement lové dans un fauteuil de velours rouge, choisissez votre cocktail favori. A moins que vous ne préfériez vous laisser guider par le savoir-faire de nos barmen, en observant les lumières de la ville scintiller sur le Rhône.;Le soir, le bar lounge Le Melhor (le meilleur dans le dialecte lyonnais) sert les meilleurs cocktails et champagnes de la ville devant la vue extraordinaire sur Lyon et le Rhône.    Les barmen mélangent alcools prestigieux et préparations maison (sirops, bitters, mousses...) pour créer de nombreuses recettes dès quils en ont loccasion.   Ils se plaisent à surprendre les plus curieux en créant les cocktails de zéro à partir de vos goûts. De délicieux encas sont également à déguster.    Chaque vendredi et samedi soir, un chanteur live sublime vos soirées.;[{'Téléphone': '04 72 41 20 34'}, {'Téléphone': '04 72 41 20 20'}, {'Tripadvisor': 'https://www.tripadvisor.fr/Attraction_Review-g187265-d6600324-Reviews-Bar_Melhor-Lyon_Rhone_Auvergne_Rhone_Alpes.html'}, {'Mél': 'H0553-fb3@sofitel.com'}, {'Site web (URL)': 'https://sofitel.accor.com/hotel/0553/index.fr.shtml'}];Toute l'année, tous les mardis, mercredis, jeudis, vendredis et samedis de 18h à 1h.;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/135/54/13055623.jpg', 'taille': 621487, 'hauteur': 801, 'largeur': 1200, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/135/54/13055623-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/131/54/13055619.jpg', 'taille': 985957, 'hauteur': 800, 'largeur': 1200, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/131/54/13055619-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/134/54/13055622.jpg', 'taille': 878630, 'hauteur': 801, 'largeur': 1200, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/134/54/13055622-fiche.jpg'}]
La Fontaine du Taurobole;"{""postalCode"": '69005', ""streetAddress"": '17 ter et 19 rue des Macchabées', ""addressLocality"": 'Lyon 5ème'}";15;4,815125;45,755604;2;Située dans le quartier de Saint Just, la fontaine du Boeuf, dite du Taurobole, est la plus ancienne fontaine de Lyon. Terminée en 1828, elle fut inscrite à lInventaire des Monuments Historiques en 1987.;4 colonnes en pierre de Tournus supportent un entablement et une vasque rectangulaire, surmontée dune tête de taureau couronné.   Lautel était dédié à la déesse orientale Cybèle.  Larchitecte sest inspiré dune pierre de taurobole (petit autel où étaient sacrifiés les animaux) découverte lors de fouilles.;;;;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/232/173/44520.jpg', 'taille': 57119, 'hauteur': 500, 'largeur': 375, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/232/173/44520-fiche.jpg'}]
Cocon de bien-être;"{""postalCode"": '69160', ""streetAddress"": '38 rue Victor Hugo', ""addressLocality"": 'Tassin-la-Demi-Lune'}";90;4,783468;45,765845;4;Ces ateliers hebdomadaires permettent dapprendre à fabriquer votre lessive liquide, spray désodorisant, brume doreiller ou encore pastilles détartrantes.;Rien ne vaut le fait maison, mais en ce qui concerne lhygiène et la santé, mieux vaut, si lon débute, se faire épauler par un professionnel ! Si depuis quelque temps lidée de préparer votre lessive, votre shampooing, vous fait envie mais que vous ne savez pas par où commencer, ces ateliers sont faits pour vous !   Le matériel, les matières premières naturelles et/ou bio, contenants et recettes sont fournis.;[{'Téléphone': '06 25 09 15 19'}, {'Mél': 'contact@cocondebienetre.fr'}, {'Site web (URL)': 'https://www.cocondebienetre.fr/'}, {'Page facebook': 'https://www.facebook.com/coconbienetre'}];Jours et horaires à consulter sur le site internet et à vérifier auprès de l'organisateur. Sur réservation préalable.;À partir de 20€.;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/92/135/9340764.jpg', 'taille': 77674, 'hauteur': 848, 'largeur': 1280, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/92/135/9340764-fiche.jpg'}]
La Faute aux Ours;"{""postalCode"": '69007', ""streetAddress"": '4 Grande Rue de la Guillotière', ""addressLocality"": 'Lyon 7ème'}";30;4,84314;45,754775;5;;;[{'Téléphone': '09 52 95 80 41'}, {'Mél': 'lafauteauxours@hotmail.fr'}];Annulé ou fermé en raison du Covid-19.;;
Pont Raymond Poincaré;"{""name"": 'Sur le Rhône,,et entre le quai Charles de Gaulle (6°) et le bd Laurent Bonnevay (Villeurbanne)', ""postalCode"": '69300', ""streetAddress"": 'entre le quai de Bellevue à Saint Clair (Caluire)', ""addressLocality"": 'Caluire-et-Cuire'}";15;4,86042;45,787517;2;Il ne fut construit que tardivement, de 1937 à 1939, en liaison avec la mise en place du boulevard périphérique initié par le président du Conseil Géné­ral Laurent Bonnevay. Ouvrage classique en béton reposant sur 4 piles, il fut dédié à Raymond Poincaré.;Le pont fut détruit le 1er sept 1944 par les Allemands. Reconstruit en 1950, il sera fermé à cause de nombreuses fissures et remplacé par un pont en fer de 1964 à 1989. Le pont actuel date de cette même année, il fut ensuite élargi et modifié à ses extrémités pour le raccorder à léchangeur du périphérique Nord et au boulevard Laurent Bonnevay.  Raymond Poincaré fut président de la République de 1913 à 1921 et président du Conseil de 1926 à 1929.;;;;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/52/77/347444.jpg', 'taille': 74846, 'hauteur': 450, 'largeur': 600, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images-principales/52/77/347444-fiche.jpg'}]
