name;address;visit_duration;long;lat;category_slug;shortdescription;longdescription;contact;opening;tarif;illustration
Bar le Melhor;{'postalCode': '69002', 'streetAddress': '20 quai Gailleton', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2ème'};30;4,834328;45,754379;bars;Confortablement lové dans un fauteuil de velours rouge, choisissez votre cocktail favori. A moins que vous ne préfériez vous laisser guider par le savoir-faire de nos barmen, en observant les lumières de la ville scintiller sur le Rhône.;Le soir, le bar lounge Le Melhor (le meilleur dans le dialecte lyonnais) sert les meilleurs cocktails et champagnes de la ville devant la vue extraordinaire sur Lyon et le Rhône.    Les barmen mélangent alcools prestigieux et préparations maison (sirops, bitters, mousses...) pour créer de nombreuses recettes dès quils en ont loccasion.   Ils se plaisent à surprendre les plus curieux en créant les cocktails de zéro à partir de vos goûts. De délicieux encas sont également à déguster.    Chaque vendredi et samedi soir, un chanteur live sublime vos soirées.;[{'Téléphone': '04 72 41 20 34'}, {'Téléphone': '04 72 41 20 20'}, {'Tripadvisor': 'https://www.tripadvisor.fr/Attraction_Review-g187265-d6600324-Reviews-Bar_Melhor-Lyon_Rhone_Auvergne_Rhone_Alpes.html'}, {'Mél': 'H0553-fb3@sofitel.com'}, {'Site web (URL)': 'https://sofitel.accor.com/hotel/0553/index.fr.shtml'}];Toute l'année, tous les mardis, mercredis, jeudis, vendredis et samedis de 18h à 1h.;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/135/54/13055623.jpg', 'taille': 621487, 'hauteur': 801, 'largeur': 1200, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/135/54/13055623-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/131/54/13055619.jpg', 'taille': 985957, 'hauteur': 800, 'largeur': 1200, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/131/54/13055619-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/134/54/13055622.jpg', 'taille': 878630, 'hauteur': 801, 'largeur': 1200, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/134/54/13055622-fiche.jpg'}]
Bar Le Mélèze;{'postalCode': '69002', 'streetAddress': '23 cours Charlemagne', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2ème'};30;4,823754;45,746002;bars;Le bar vaste et lumineux, ouvert sur une grande terrasse fleurie et son ”jardinet aromatique”, vous propose sa carte de cocktails et boissons traditionnelles.;Vous pourrez, midi et soir, “grignoter” des sélections de salades, friture, bagels…..sans oublier des desserts !     Détente ou travail sous l’olivier, le cadre est idéal !;[{'Téléphone': '04 72 77 70 00'}, {'Site web (URL)': 'https://www.happyculture.com/fr/hotel-charlemagne.html'}];Ouvert toute l'année.;;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/84/125/10255700.jpg', 'taille': 183654, 'hauteur': 1200, 'largeur': 1200, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/84/125/10255700-fiche.jpg'}]
Copper Roots;{'postalCode': '69004', 'streetAddress': 1 rue Dumont d'Urville, 'addressCountry': 'FR', 'addressLocality': 'Lyon 4ème'};30;4,836198;45,776758;bars;Marek et Thomas vous accueillent dans leur bar à cocktails situé dans le quartier de la Croix-Rousse.;;[{'Téléphone': '04 72 07 64 30'}, {'Mél': 'contact@copperroots.fr'}, {'Site web (URL)': 'https://www.copperroots.fr/'}, {'Page facebook': 'https://www.facebook.com/Copperroots.restaurant/'}];Ouvert du mar.au sam., midi et soir. Brunch le dim.  Annulé ou fermé en raison du Covid-19.;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/89/82/5919321.jpg', 'taille': 58761, 'hauteur': 364, 'largeur': 960, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/89/82/5919321-fiche.jpg'}]
Chenavard;{'postalCode': '69001', 'streetAddress': '20 rue Paul Chenavard', 'addressCountry': 'FR', 'addressLocality': 'Lyon 1er'};30;4,832933;45,765659;bars;Situé au cœur de la Presquîle de Lyon, à deux pas du Musée des Beaux-Arts et des boutiques, léquipe du CHENAVARD vous accueille depuis plus de 20 ans dans un cadre chaleureux et une ambiance conviviale pour tous vos moments de détente…;Le café-restaurant CHENAVARD, dirigé depuis février 2005 par Didier Valter et son épouse Jessica, ouvre de 7h à 1h pour le petit café du matin, le déjeuner préparé avec soins par nos cuisiniers, laprès-midi pour une pause soda ou chocolat et le soir en afterwork pour un moment entre amis. Bref, au CHENAVARD, nous sommes là pour chacun de vos moments de détente, tout simplement !  Létablissement est accessible aux personnes à mobilité réduite,  Nous pouvons accueillir jusquà 110 personnes à lintérieur et 60 en terrasse.  Les familles sont les bienvenues (mise à disposition d’une table à langer, des chaises hautes et menu enfant).;[{'Téléphone': '04 78 28 64 14'}, {'Mél': 'contact@cafechenavard.com'}, {'Site web (URL)': 'http://www.chenavard.fr'}];Toute l'année. Tous les jours de 7h à 1h.  Fermé le dimanche.;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/9/144/1478665.jpg', 'taille': 385259, 'hauteur': 1134, 'largeur': 850, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/9/144/1478665-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/12/144/1478668.jpg', 'taille': 426770, 'hauteur': 850, 'largeur': 1134, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/12/144/1478668-fiche.jpg'}]
Grand Café des Négociants;{'postalCode': '69002', 'streetAddress': '1 place Francisque Régaud', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2ème'};30;4,834435;45,763227;bars;L’heure de la convivialité, le moment de savourer un cocktail, une flûte de champagne, un bon verre de vin accompagné de toasts de foie gras ou de saumon fumé ou encore une assiette de charcuterie lyonnaise au rythme d’une musique lounge…;Le style Second Empire de cet établissement est caractérisé par ses faux plafonds moulurés et peints ainsi que par ses nombreux miroirs.    Venez déguster un cocktail création de notre chef barman à lapéritif ou après votre spectacle dans une ambiance cosy et chaleureuse.;[{'Téléphone': '04 78 42 50 05'}, {'Mél': 'negociants@lesnegociants.com'}, {'Site web (URL)': 'http://www.lesnegociants.com'}];Toute l'année de 7h à 4h.;;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/203/35/10167243.jpg', 'taille': 1980766, 'hauteur': 1868, 'largeur': 2800, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/203/35/10167243-fiche.jpg'}, {'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/204/35/10167244.jpg', 'taille': 358312, 'hauteur': 683, 'largeur': 1029, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/204/35/10167244-fiche.jpg'}, {'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/202/35/10167242.jpg', 'taille': 1118402, 'hauteur': 992, 'largeur': 826, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/202/35/10167242-fiche.jpg'}, {'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/201/35/10167241.jpg', 'taille': 327832, 'hauteur': 567, 'largeur': 850, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/201/35/10167241-fiche.jpg'}, {'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/205/35/10167245.jpg', 'taille': 9732073, 'hauteur': 2848, 'largeur': 4288, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/205/35/10167245-fiche.jpg'}]
Black Forest Society;{'postalCode': '69001', 'streetAddress': 29 rue de l'Arbre Sec, 'addressCountry': 'FR', 'addressLocality': 'Lyon 1er'};30;4,837517;45,76685;bars;Bienvenue en Germanie ! Guidé par une curiosité inébranlable pour l’Allemagne, Black Forest Society vous ouvre les portes d’un bar intime et théâtralisé qui vous fera vivre une expérience spéciale... Bienvenue dans lAllemagne moderne & arty !;Lidée ? Un bar made in Deutschland, sehr sehr authentique !  Du décor, aux menus, aux cocktails, sans oublier les tenues des serveurs (façon Lederhosen) vous vous retrouverez en pleine Bavière rétro !    Sitôt le seuil franchi, vous vous réfugiez en pays Bavarois au chaud sur votre banquette moelleuse, dégustant une bonne Currywurst, une bière à la levure et un cocktail aux saveurs dun autre monde.  Cest lensemble du terroir germain qui a été revisité (jus de fruits bio, schnaps ou Gin de Forêt Noire, mélanges de pommes caramélisées et noisettes grillées etc).  Et si vous narrivez pas à prononcer le nom des cocktails sur la carte, aucun problème ! Léquipe est là pour vous accompagner !    En cas de fringale, le Küchenchef vous propose assortiments de charcuterie ou fromages allemands, pain noir et saumon, bouchées de Schnitzel et autres gros Bretzels tous chauds. Nhésitez pas à retrouver notre Aktualität sur Facebook pour tous les événements spéciaux ( stand allemand le 8 décembre ...) !  Beste Grüße aus Deutschland !;[{'Tripadvisor': 'https://www.tripadvisor.fr/Attraction_Review-g187265-d9809124-Reviews-Black_Forest_Society-Lyon_Rhone_Auvergne_Rhone_Alpes.html'}];Ouvert du lun. au mer. de 18h à 1h,  les jeu. jusqu'à 2h, les ven. et sam. jusqu'à 3h. Fermé les  1er janv., 24 et 25 déc.;;[{'url': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/108/108/814188.jpg', 'taille': 73384, 'hauteur': 600, 'largeur': 900, 'urlFiche': 'http://static.apidae-tourisme.com/filestore/objets-touristiques/images/108/108/814188-fiche.jpg'}]
Côté Bellecour;{'postalCode': '69002', 'streetAddress': '20 place Bellecour', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2ème'};30;4,833062;45,756429;bars;Côté Bellecour. Dans ce lieu, tout est rouge... du sol au plafond . Un espace feutré ouvert tout au long de la journée avec la vue sur la plus grande place de Lyon, Bellecour pour déguster  en musique un verre de champagne, de vin, de spiritueux...;Lhôtel le Royal ,une grande Maison de Famille située au cœur de la ville entre Saône et Rhône propose son bar Côté Bellecour ouvert jusquà minuit.  Ce salon de musique vous invite à la détente durant la journée dans une ambiance feutrée avec vue sur lune des plus belles places de France : Bellecour, au coeur du site classé au patrimoine mondial de lUnesco.;[{'Téléphone': '04 78 37 57 31'}, {'Mél': 'H2952@accor.com'}, {'Site web (URL)': 'http://www.mgallery.com'}];Toute l'année de 11h à 23h30.;Tarif groupe à partir de 10 personnes.;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/95/11/12913503.jpg', 'taille': 2083916, 'hauteur': 1536, 'largeur': 2048, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/95/11/12913503-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/91/11/12913499.jpg', 'taille': 1104261, 'hauteur': 1152, 'largeur': 1536, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/91/11/12913499-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/133/11/12913541.jpg', 'taille': 3325441, 'hauteur': 2592, 'largeur': 3888, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/133/11/12913541-fiche.jpg'}]
Cabana Café;{'postalCode': '69001', 'streetAddress': 30 rue de l'Annonciade, 'addressCountry': 'FR', 'addressLocality': 'Lyon 1er'};30;4,829118;45,769726;bars;Cabana Café vous accueille dans un décor typique cubain. De nombreux cocktails sont proposés ! Dans l’assiette des tapas et planches à partager aux saveurs sud-américaines et sur la piste de danse fiesta latina sur les sons du moment.;Envie d’ailleurs et de découvertes ?  Direction Cabana Café, lieu convivial au décor cubain typique, en plein centre de Lyon. Au bar, de nombreux cocktails et linimitable Mojito de Cabana.    Et côté cuisine, venez goûter et apprécier nos tapas, nos planches à partager aux saveurs latines tels que les Nachos (Tortillas chips) con guacamole y pico de gallo, les empanadas chilenas, la tortilla española, la tapenade aux olives vertes servie avec des tranches pain grillé, la bruschetta aux tomates à l’italienne, la patate douce et les alitas de pollo caramelizados (ailes de poulet caramélisées dans sa sauce) sans oublier nos Chicharrones de cerdo (Porc) et Plátano frito (banane plantain frit) avec sa sauce tomate cacahuète.    Dans les baffles résonnent des sons de salsa, bachata, reggaeton et latinos du moment dans une ambiance Muy caliente, avec DJ et piste de danse.  Les jeudis et vendredis, venez profiter de l’animation gratuite de danses latines (salsa, bachata, reggaeton, kuduro…) donnée par les profs cubains de Cabana, on peut danser tout en mangeant !    Réservez pour vos évènements (anniversaires, soirées étudiantes/BDE, enterrements de vie de jeune fille/garçon, soirées associatives, comité d’entreprise, …) et la location de la salle.;[{'Téléphone': '04 78 28 85 26'}, {'Mél': 'contact.cabanacafe@gmail.com'}, {'Site web (URL)': 'http://www.cabana-cafe.com'}, {'Page facebook': 'https://www.facebook.com/Cabanacafelyon/'}, {'Page facebook': 'https://fr-fr.facebook.com/Cabana-Cafe-Lyon-1745827592314831/posts/?ref=page_internal'}];Toute l'année  Ouverture le mardi, mercredi, jeudi, vendredi et samedi de 18h30 à 4h. Fermetures exceptionnelles les 1er janvier et 25 décembre.;Entrée gratuite du mardi au samedi.;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/100/146/12882532.jpg', 'taille': 111486, 'hauteur': 768, 'largeur': 960, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/100/146/12882532-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/101/146/12882533.jpg', 'taille': 1233842, 'hauteur': 2485, 'largeur': 1988, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/101/146/12882533-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/102/146/12882534.jpg', 'taille': 597398, 'hauteur': 2170, 'largeur': 3255, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/102/146/12882534-fiche.jpg'}, {'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/103/146/12882535.jpg', 'taille': 85260, 'hauteur': 600, 'largeur': 900, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/103/146/12882535-fiche.jpg'}]
Light Bar;{'postalCode': '69002', 'streetAddress': '20 quai Gailleton', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2ème'};30;4,834349;45,754334;bars;Dans le Lobby du Sofitel Lyon Bellecour, retrouvez le salon moderne du Light Bar et dégustez loffre de snacking bistronomique.;La terrasse du Light Bar est ouverte tous les jours.     Du soir au matin, choisissez entre boisson chaude, soft, cocktail... Tout est possible !    Le midi, vous pouvez déjeuner grâce à la carte locale Good Times.;[{'Téléphone': '04 72 41 20 20'}, {'Téléphone': '04 72 41 20 33'}, {'Mél': 'H0553@sofitel.com'}, {'Site web (URL)': 'https://sofitel.accor.com/hotel/0553/index.fr.shtml'}, {'Fax': '04 72 40 05 50'}];Toute l'année  Ouverture tous les jours de 8h à 22h.;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/8/54/13055496.jpg', 'taille': 2548413, 'hauteur': 1319, 'largeur': 2048, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/8/54/13055496-fiche.jpg'}]
LIvresse;{'postalCode': '69002', 'streetAddress': '13 rue du Général Pléssier', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2ème'};30;4,826421;45,751286;bars;L’Ivresse est un bar à vins atypique de Lyon. Avec sa carte des vins de plus de 400 références et sa collection de verres d’exception, son sommelier et gérant Charles-Aymerci Palard vous reçoit pour vous faire partager sa passion.;Au-delà du vin, chaque détail compte et tous les produits de la carte sont choisis et préparés avec attention. De bons produits travaillés simplement mais avec de la personnalité !;[{'Téléphone': '06 09 73 43 54'}, {'Téléphone': '04 69 16 99 70'}, {'Site web (URL)': 'https://www.ivresse-lyon.com/'}, {'Page facebook': 'https://www.facebook.com/restaurant.baravins.livresse/'}];Ouvert du lun. au mar. de 18h à 23h et du mer. au sam. de 18h à minuit.  Annulé ou fermé en raison du Covid-19.;;[{'url': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/10/83/5919498.jpg', 'taille': 46999, 'hauteur': 640, 'largeur': 960, 'urlFiche': 'https://static.apidae-tourisme.com/filestore/objets-touristiques/images/10/83/5919498-fiche.jpg'}]
